NAME,TD9,TD10,TD11,TOTAL_TD
Aaron Rodgers,26,48,37,111
Tom Brady,24,40,43,107
Patrick Mahomes,26,38,37,101
Russell Wilson,31,40,25,96
Kirk Cousins,26,35,33,94
Josh Allen,20,37,36,93
Matthew Stafford,19,26,41,86
Lamar Jackson,36,26,16,78
Dak Prescott,30,9,37,76
Ryan Tannehill,22,33,21,76
Matt Ryan,26,26,20,72
Derek Carr,21,27,23,71
Carson Wentz,27,16,27,70
Kyler Murray,20,26,24,70
Justin Herbert,0,31,38,69
Baker Mayfield,22,26,17,65
Jared Goff,22,20,19,61
Deshaun Watson,26,33,0,59
Ben Roethlisberger,0,33,22,55
Jimmy Garoppolo,27,7,20,54
Drew Brees,27,24,0,51
Jameis Winston,33,0,14,47
Joe Burrow,0,13,34,47
Philip Rivers,23,24,0,47
Daniel Jones,24,11,10,45
Teddy Bridgewater,9,15,18,42
Gardner Minshew II,21,16,4,41
Andy Dalton,16,14,8,38
Sam Darnold,19,9,9,37
Ryan Fitzpatrick,20,13,0,33
Mitchell Trubisky,17,16,0,33
Tua Tagovailoa,0,11,16,27
Drew Lock,7,16,2,25
Jacoby Brissett,18,0,5,23
Kyle Allen,17,4,1,22
Jalen Hurts,0,6,16,22
Taylor Heinicke,0,1,20,21
Mason Rudolph,13,2,1,16
Joe Flacco,6,6,3,15
Case Keenum,11,0,3,14
Nick Foles,3,10,1,14
Nick Mullens,0,12,1,13
Cam Newton,0,8,4,12
Mike Glennon,1,7,4,12
Dwayne Haskins,7,5,0,12
Trevor Siemian,0,0,11,11
Brandon Allen,3,5,2,10
Marcus Mariota,7,1,0,8
Taysom Hill,0,4,4,8
Jeff Driskel,4,3,0,7
Eli Manning,6,0,0,6
Tyrod Taylor,1,0,5,6
Alex Smith,0,6,0,6
C.J. Beathard,0,6,0,6
Devlin Hodges,5,0,0,5
Brian Hoyer,4,0,1,5
Geno Smith,0,0,5,5
David Blough,4,0,0,4
Matt Moore,4,0,0,4
Colt McCoy,0,1,3,4
Chase Daniel,3,1,0,4
Matt Schaub,3,0,0,3
Tim Boyle,0,0,3,3
Tyler Huntley,0,0,3,3
Ryan Finley,2,1,0,3
Jake Luton,0,2,0,2
P.J. Walker,0,1,1,2
Brett Rypien,0,2,0,2
Jarrett Stidham,0,2,0,2
Chad Henne,0,2,0,2
Blaine Gabbert,0,2,0,2
Jakobi Meyers,0,2,0,2
Josh Rosen,1,0,0,1
Robert Griffin III,1,0,0,1
Sean Mannion,0,0,1,1
Julian Edelman,1,0,0,1
Emmanuel Sanders,1,0,0,1
John Brown,1,0,0,1
Danny Amendola,1,0,0,1
DeAndre Hopkins,1,0,0,1
Matt Haack,1,0,0,1
Garrett Gilbert,0,1,0,1
Matt Barkley,0,1,0,1
Chris Streveler,0,1,0,1
Trace McSorley,0,1,0,1
Jarvis Landry,0,1,0,1
Jamison Crowder,0,1,0,1
Russell Gage,0,1,0,1
Cedrick Wilson Jr.,0,1,0,1
Cole Beasley,0,1,0,1
Isaiah McKenzie,0,1,0,1
Luke Falk,0,0,0,0
Will Grier,0,0,0,0
A.J. McCarron,0,0,0,0
Brett Hundley,0,0,0,0
Courtland Sutton,0,0,0,0
Jaylen Samuels,0,0,0,0
James White,0,0,0,0
Johnny Hekker,0,0,0,0
Alex Erickson,0,0,0,0
Andy Lee,0,0,0,0
Josh McCown,0,0,0,0
Odell Beckham Jr.,0,0,0,0
Albert Wilson,0,0,0,0
Ryan Griffin,0,0,0,0
Logan Cooke,0,0,0,0
Dante Pettis,0,0,0,0
Alvin Kamara,0,0,0,0
Michael Palardy,0,0,0,0
Kelvin Harmon,0,0,0,0
Brett Kern,0,0,0,0
Andrew Beck,0,0,0,0
Kenjon Barner,0,0,0,0
Blake Bortles,0,0,0,0
Alex Tanney,0,0,0,0
Randall Cobb,0,0,0,0
Dustin Colquitt,0,0,0,0
Stefon Diggs,0,0,0,0
Jake Elliott,0,0,0,0
Josh Gordon,0,0,0,0
Cooper Kupp,0,0,0,0
Christian McCaffrey,0,0,0,0
Zach Pascal,0,0,0,0
Bilal Powell,0,0,0,0
Steven Sims,0,0,0,0
Sam Koch,0,0,0,0
John Wolford,0,0,0,0
Ben DiNucci,0,0,0,0
Lynn Bowden Jr.,0,0,0,0
Nate Sudfeld,0,0,0,0
Zay Jones,0,0,0,0
Joseph Charlton,0,0,0,0
Logan Thomas,0,0,0,0
Nathan Peterman,0,0,0,0
Tyler Bray,0,0,0,0
Golden Tate,0,0,0,0
Tyler Boyd,0,0,0,0
Greg Ward,0,0,0,0
Kendall Hinton,0,0,0,0
Jaquan Johnson,0,0,0,0
Tommy Townsend,0,0,0,0
Logan Woodside,0,0,0,0
Travis Kelce,0,0,0,0
Easton Stick,0,0,0,0
Joshua Dobbs,0,0,0,0
Jamal Agnew,0,0,0,0
Keenan Allen,0,0,0,0
Riley Dixon,0,0,0,0
Chris Jones,0,0,0,0
D.J. Moore,0,0,0,0
Sammy Watkins,0,0,0,0
Isaiah Wright,0,0,0,0
